ID,Words,POS,Position,Phonemic
1.0,abdomen,noun,antepenultimate,/ˈæbdəmən/
2.0,absent,adjective,penultimate,/ˈæbsənt/
3.0,abstract,noun,penultimate,/ˈæbstrækt/
4.0,accident,noun,antepenultimate,/ˈæksɪdənt/
5.0,achieve,verb,ultimate,/əˈtʃiv/
6.0,active,adjective,penultimate,/ˈæktɪv/
7.0,address,noun,penultimate,/ˈædrɛs/
8.0,address,verb,ultimate,/əˈdrɛs/
9.0,admit,verb,ultimate,/ədˈmɪt/
10.0,Africa,noun,antepenultimate,/ˈæfrɪkə/
11.0,agenda,noun,penultimate,/əˈdʒɛndə/
12.0,agent,noun,penultimate,/ˈeɪdʒənt/
13.0,agree,verb,ultimate,/əˈɡri/
14.0,algebra,noun,antepenultimate,/ˈældʒɪbrə/
15.0,alive,adjective,ultimate,/əˈlaɪv/
16.0,ally,noun,penultimate,/əˈroʊmə/
17.0,ally,verb,ultimate,/əˈlaɪ/
18.0,ample,adjective,penultimate,/ˈæmpəl/
19.0,animal,noun,antepenultimate,/ˈænɪməl/
20.0,announce,verb,ultimate,/əˈnaʊns/
21.0,apocalypse,noun,antepenultimate,/əˈpɑkəlɪps/
22.0,appeal,noun,ultimate,/əˈpil/
23.0,arid,adjective,penultimate,/ˈærɪd/
24.0,aroma,noun,penultimate,
25.0,asparagus,noun,antepenultimate,/əˈspærəɡəs/
26.0,astronomy,noun,antepenultimate,/əˈstrɑnəmi/
27.0,balance,noun,penultimate,/ˈbæləns/
28.0,balance,verb,penultimate,/ˈbæləns/
29.0,ballad,noun,penultimate,/ˈbæləd/
30.0,balloon,noun,ultimate,/bəˈlun/
31.0,banal,adjective,ultimate,/bəˈnæl/
32.0,barracuda,noun,penutimate,/ˌbærəˈkudə/
33.0,basilica,noun,antepenulimate,/bəˈzɪlɪkə/
34.0,blossom,noun,penutimate,/ˈblɑsəm/
35.0,bonanza,noun,penutimate,/bəˈnænzə/
36.0,bother,verb,penutimate,/ˈbɑðər/
37.0,bottle,noun,penutimate,/ˈbɑtl/
38.0,bottle,verb,penultimate,/ˈbɑtl/
39.0,bottom,noun,penutimate,/ˈbɑtəm/
40.0,bottom,adjective,penultimate,/ˈbɑtəm/
41.0,Brazil,noun,ultimate,/brəˈzɪl/
42.0,buffalo,noun,antepenultimate,/ˈbʌfəloʊ/
43.0,busy,adjective,penultimate,/ˈbɪzi/
44.0,busy,verb,penultimate,/ˈbɪzi/
45.0,cabbage,noun,penultimate,/ˈkæbɪdʒ/
46.0,canal,noun,penultimate,/kəˈnæl/
47.0,canoe,noun,ultimate,/kəˈnu/
48.0,carrot,noun,penultimate,/ˈkærət/
49.0,cemetery,noun,initial,/ˈseməteri/
50.0,chicken,noun,penultimate,/ˈtʃɪkɪn/
51.0,combat,noun,penultimate,/ˈkɑmbæt/
52.0,combat,verb,ultimate,/kəmˈbæt/
53.0,comedy,noun,antepenultimate,/ˈkɑmɪdi/
54.0,common,adjective,penultimate,/ˈkɑmən/
55.0,complete,verb,ultimate,/kəmˈplit/
56.0,compress,verb,ultimate,/kəmˈprɛs/
57.0,compress,noun,penultimate,/ˈkɑmprɛs/
58.0,computer,noun,penultimate,/kəmˈpjutər/
59.0,conduct,verb,ultimate,/kənˈdʌkt/
60.0,conduct,noun,penultimate,/ˈkɑndʌkt/
61.0,confine,verb,ultimate,/kənˈfaɪn/
62.0,conflict,noun,penultimate,/ˈkɑnflɪkt/
63.0,constitute,verb,antepenultimate,/ˈkɑnstɪtjut/
64.0,constitutional,adjective,antepenultimate,/ˌkɑnstɪˈtjuʃənəl/
65.0,constitutionality,noun,antepenultimate,/ˌkɑnstɪtjuʃəˈnælɪti/
66.0,contrast,verb,penultimate,/ˈkɑntræst/
67.0,convict,verb,ultimate,/kənˈvɪkt/
68.0,convict,noun,penultimate,/ˈkɑnvɪkt/
69.0,cookie,noun,penultimate,/ˈkʊki/
70.0,correct,verb,ultimate,/kəˈrekt/
71.0,corrupt,adjective,ultimate,/kəˈrʌpt/
72.0,country,noun,penultimate,/ˈkʌntri/
73.0,December,noun,penultimate,/dɪˈsembər/
74.0,democracy,noun,antepenultimate,/dɪˈmɑkrəsi/
75.0,democrat,noun,antepenultimate,/ˈdɛməkræt/
76.0,democratic,adjective,penultimate,/ˌdɛməˈkrætɪk/
77.0,differ,verb,Penultimate,/ˈdɪfər/
78.0,digest,noun,penultimate,/ˈdaɪdʒɛst/
79.0,digest,verb,ultimate,/dɪˈdʒɛst/
80.0,dimple,noun,penultimate,/ˈdɪmpəl/
81.0,diploma,noun,penultimate,/dɪˈploʊmə/
82.0,diplomacy,noun,antepenultimate,/dɪˈploʊməsi/
83.0,diplomat,noun,antepenultimate,/ˈdɪpləmæt/
84.0,diplomatic,adjective,penultimate,/ˌdɪpləˈmætɪk/
85.0,director,noun,penultimate,/dɪˈrektər/ or /daɪˈrektər/
86.0,discharge,verb,ultimate,/dɪsˈtʃɑrdʒ/ or /ˈdɪstʃɑrdʒ/
87.0,discharge,noun,penultimate,/ˈdɪstʃɑrdʒ/
88.0,distance,noun,penultimate,/ˈdɪstəns/
89.0,divine,adjective,penultimate,/dɪˈvaɪn/
90.0,early,adverb,penultimate,/ˈɜrli/
91.0,empire,noun,antepenultimate,/ˈɛmpaɪər/
92.0,enigma,noun,penultimate,/ɪˈnɪɡmə/
93.0,escort,noun,penultimate,/ˈɛskɔrt/
94.0,escort,verb,ultimate,/ɪˈskɔrt/
95.0,experiment,noun,antepenultimate,/ɪkˈspɛrɪmənt/
96.0,export,noun,penultimate,/ˈɛkspɔrt/
97.0,export,verb,ultimate,/ɪkˈspɔrt/
98.0,extract,verb,ultimate,/ɪkˈstrækt/
99.0,extract,noun,penultimate,/ˈɛkstrækt/
100.0,father,noun,penultimate,/ˈfɑðər/
101.0,figure,noun,penultimate,/ˈfɪɡjər/
102.0,fluent,adjective,penultimate,/ˈfluənt/
103.0,furnish,verb,penultimate,/ˈfɜrnɪʃ/
104.0,gazelle,noun,ultimate,/ɡəˈzɛl/
105.0,giraffe,noun,ultimate,/dʒɪˈræf/
106.0,harmonica,noun,antepenultimate,/hɑrˈmɑnɪkə/
107.0,harvest,noun,penultimate,/ˈhɑrvɪst/
108.0,hippopotamus,noun,antepenultimate,/ˌhɪpəˈpɑtəməs/
109.0,honest,adjective,penultimate,/ˈɑnɪst/
110.0,horizon,noun,penultimate,/həˈraɪzən/
111.0,husband,noun,penultimate,/ˈhʌzbənd/
112.0,implant,verb,penultimate,/ˈɪmplænt/
113.0,implant,noun,ultimate,/ˈɪmplænt/
114.0,import,noun,penultimate,/ˈɪmpɔrt/
115.0,import,verb,ultimate,/ɪm'pɔrt/
116.0,increase,verb,ultimate,/ɪnˈkris/
117.0,increase,noun,penultimate,/ˈɪnkris/
118.0,insert,verb,ultimate,/ɪnˈsɜrt/
119.0,insert,noun,penultimate,/ˈɪnsɜrt/
120.0,insult,noun,penultimate,/ˈɪnsʌlt/
121.0,insult,verb,ultimate,/ɪnˈsʌlt/
122.0,intend,verb,ultimate,/ɪnˈtɛnd/
123.0,intense,adjective,ultimate,/ɪnˈtɛns/
124.0,interfere,verb,penultimate,/ˌɪntərˈfɪər/
125.0,Japan,noun,ultimate,/dʒəˈpæn/
126.0,July,noun,ultimate,/dʒʊˈlaɪ/
127.0,machine,noun,ultimate,/məˈʃin/
128.0,mundane,adjective,penultimate,/ˈmʌndeɪn/
129.0,obscene,adjective,ultimate,/əbˈsin/
130.0,obscure,adjective,ultimate,/əbˈskjʊər/
131.0,okay,adjective,ultimate,/oʊˈkeɪ/
132.0,origin,noun,antepenultimate,/ˈɔrɪdʒɪn/
133.0,camera,noun,antepenultimate,/ˈɔrɪdʒɪn/
134.0,original,adjective,antepenultimate,/əˈrɪdʒɪnəl/
135.0,originality,noun,antepenultimate,/ˌɔrɪdʒɪˈnælɪti/
136.0,parade,noun,ultimate,/pəˈreɪd/
137.0,perfect,adjective,penultimate,/ˈpɜrfɪkt/
138.0,perfect,verb,ultimate,/pərˈfɛkt /
139.0,permit,noun,penultimate,/ˈpɜrmɪt/
140.0,permit,verb,ultimate,/pərˈmɪt/
141.0,photograph,noun,antepenultimate,/ˈfoʊtəˌgræf/
142.0,photographic,adjective,penultimate,/ˌfoʊtəˈgræfɪk/
143.0,photography,noun,antepenultimate,/foʊˈtɑgrəfi/
144.0,policy,noun,antipenultimate,/ˈpɑlɪsi/
145.0,precise,adjective,ultimate,/prɪˈsaɪs/
146.0,predict,verb,ultimate,/prɪˈdɪkt/
147.0,progress,verb,ultimate,/prəˈgrɛs/
148.0,progress,noun,penultimate,/ˈprɒg rɛs/
149.0,project,noun,penultimate,/ˈproʊdʒɛkt/
150.0,proper,adjective,penultimate,/ˈprɑpər/
151.0,protest,noun,penultimate,/ˈproʊtɛst/
152.0,protest,verb,ultimate,/prəˈtɛst/
153.0,punish,verb,penultimate,/ˈpʌnɪʃ/
154.0,ready,adjective,penultimate,/ˈrɛdi/
155.0,rebel,noun,penultimate,/ˈrɛbəl/
156.0,rebel,verb,ultimate,/rɪˈbɛl/
157.0,refund,noun,penultimate,/ˈrifʌnd/
158.0,refund,verb,ultimate,/rɪˈfʌnd/
159.0,refuse,verb,ultimate,/rɪˈfjuz/
160.0,reject,verb,ultimate,/rɪˈdʒɛkt/
161.0,reject,noun,penultimate,/ˈri dʒɛkt/
162.0,reply,verb,penultimate,/rɪˈplaɪ/
163.0,retard,verb,ultimate,/rɪˈtɑrd/
164.0,retard,noun,ultimate,/rɪˈtɑrd/
165.0,sardine,noun,ultimate,/sɑrˈdin/
166.0,secure,adjective,ultimate,/sɪˈkjʊər/
167.0,serene,adjective,ultimate,/sɪˈrin/
168.0,shampoo,verb,ultimate,/ʃæmˈpu/
169.0,sincere,adjective,ultimate,/sɪnˈsɪər/
170.0,solid,adjective,penultimate,/ˈsɑlɪd/
171.0,spinach,noun,penultimate,/ˈspɪnɪtʃ/
172.0,subject,noun,penultimate,/ˈsʌbdʒɪkt/
173.0,subject,verb,ultimate,/sʌbˈdʒɛkt/
174.0,sudden,adjective,penultimate,/ˈsʌdən/
175.0,surface,noun,penulitmate,/ˈsɜrfɪs/
176.0,suspect,verb,ultimate,/səˈspɛkt/
177.0,suspect,noun,penultimate,/ˈsʌs pɛkt/
178.0,thermometer,noun,antepenultimate,/θərˈmɑmɪtər/
179.0,Tibet,noun,ultimate,/tɪˈbɛt/
180.0,tomato,noun,penultimate,/təˈmeɪtoʊ/
181.0,transfer,verb,ultimate,/trænsˈfɜr/
182.0,transfer,noun,penultimate,/ˈtrænsfər/
183.0,typhoon,noun,ultimate,/taɪˈfun/
184.0,visit,verb,penultimate,/ˈvɪzɪt/
185.0,vitamin,noun,antepenultimate,/ˈvaɪtəmɪn/
186.0,vulgar,adjective,penultimate,/ˈvʌlgər/
187.0,yellow,noun,penultimate,/ˈjɛloʊ/
188.0,zipper,noun,penultimate,/ˈzɪpər/
189.0,camera,noun,antepenultimate,/ˈkæmərə/
190.0,veteran,noun,antepenultimate,/ˈvɛtərən/
191.0,aspirin,noun,antepenultimate,/ˈæspɪrɪn/
192.0,temperature,noun,initial,/ˈtɛmpərətʃər/
193.0,reasonable,adjective,initial,/ˈrizənəbəl/
194.0,imaginative,adjective,initial,/ɪˈmædʒɪnətɪv/
195.0,principal,adjective,penultimate,/ˈprɪnsəpəl/
196.0,principal,noun,penultimate,/ˈprɪnsəpəl/
197.0,management,noun,antepenultimate,/ˈmænədʒmənt/
198.0,testament,noun,antepenultimate,/ˈtɛstəmənt/
199.0,general,adjective,antepenultimate,/ˈdʒɛnrəl/
200.0,opera,noun,antepenultimate,/ˈɑpərə/
201.0,famous,adjective,penultimate,/ˈfeɪməs/
202.0,vegetarian,noun,antepenultimate,/ˌvɛdʒɪˈtɛrɪən/
203.0,motivate,verb,antepenultimate,/ˈmoʊtəveɪt/
204.0,pathology,noun,antepenultimate,/pəˈθɑlədʒi/
205.0,facilitate,verb,antepenultimate,/fəˈsɪlɪteɪt/
206.0,generality,noun,antepenultimate,/ˌdʒɛnrəˈlɪti/
207.0,operatic,adjective,penultimate,/ˌɑpəˈrætɪk/
208.0,imagination,noun,penultimate,/ɪˌmædʒɪˈneɪʃən/
209.0,testimony,noun,initial,/ˈtɛstəˌmoʊni/
210.0,principality,noun,antepenultimate,/prɪnsəˈpælɪti/
211.0,gratification,noun,penultimate,/ˌɡrætɪfɪˈkeɪʃən/
212.0,conciliation,noun,penultimate,/ˌkɑnsɪliˈeɪʃən/
213.0,autograph,noun,antepenultimate,/ˈɔtəɡræf/
214.0,punishable,adjective,initial,/ˈpʌnɪʃəbəl/
215.0,consumptiveness,noun,antepenultimate,/kənˈsʌmptɪvnəs/
216.0,modality,noun,antepenultimate,/moʊˈdælɪti/
217.0,phonological,adjective,antepenultimate,/ˌfoʊnəˈlɑdʒɪkəl/
218.0,profundity,noun,antepenultimate,/prəˈfʌndɪti/
219.0,resumption,noun,penultimate,/rɪˈzʌmpʃən/
220.0,diagnosis,noun,penultimate,/daɪægˈnoʊsɪs/
221.0,neutralize,verb,antepenultimate,/ˈnjutrəlaɪz/
222.0,resignation,noun,penultimate,/rɪzɪgˈneɪʃən/
223.0,eccentricity,noun,antepenultimate,/ɪksɛnˈtrɪsɪti/
224.0,recessional,adjective,antepenultimate,/rɪˈsɛʃənəl/
225.0,protestation,noun,penultimate,/prətɛsˈteɪʃən/
226.0,assassination,noun,penultimate,/əˌsæsəˈneɪʃən/
227.0,agriculture,noun,initial,/ˈæɡrɪˌkʌltʃər/
228.0,macaroni,noun,penultimate,/ˌmækəˈroʊni/
229.0,transcription,noun,penultimate,/trænˈskrɪpʃən/
230.0,education,noun,penultimate,/ˌɛdʒʊˈkeɪʃən/
231.0,aristocracy,noun,antepenultimate,/ˌærɪˈstɑkrəsi/
232.0,transistor,noun,penultimate,/trænˈzɪstər/
233.0,saxophone,noun,antepenultimate,/ˈsæksəfoʊn/
